submission_id,trial_number,scenario,predicate,sentence_frame,RT,response
1785,1,move,big,each,15931,distributive
1785,2,move,tall,bare,3044,distributive
1785,3,move,heavy,together,20498,collective
1785,4,move,big,bare,3295,distributive
1785,5,move,tall,together,7873,collective
1785,6,move,heavy,bare,15506,distributive
1785,7,move,heavy,each,3558,collective
1785,8,move,big,together,2596,distributive
1785,9,move,tall,each,1740,collective
1784,1,move,big,each,11431,distributive
1784,2,move,heavy,each,7731,collective
1784,3,move,heavy,together,3179,collective
1784,4,move,big,bare,1932,distributive
1784,5,move,big,together,1728,collective
1784,6,move,tall,bare,1852,distributive
1784,7,move,tall,together,1618,collective
1784,8,move,tall,each,2280,distributive
1784,9,move,heavy,bare,6597,collective
1783,1,move,tall,together,9654,collective
1783,2,move,heavy,bare,10403,collective
1783,3,move,tall,bare,2812,collective
1783,4,move,big,bare,2556,distributive
1783,5,move,heavy,together,4144,collective
1783,6,move,big,together,3101,collective
1783,7,move,heavy,each,3548,distributive
1783,8,move,tall,each,1871,distributive
1783,9,move,big,each,1549,distributive
1782,1,move,tall,together,12113,collective
1782,2,move,big,together,3990,distributive
1782,3,move,big,bare,2991,distributive
1782,4,move,heavy,bare,7835,collective
1782,5,move,big,each,5157,distributive
1782,6,move,tall,bare,2403,distributive
1782,7,move,tall,each,3481,distributive
1782,8,move,heavy,together,4630,collective
1782,9,move,heavy,each,3429,distributive
1781,1,inspect,big,together,8239,collective
1781,2,inspect,tall,each,2580,distributive
1781,3,inspect,tall,together,2229,collective
1781,4,inspect,big,each,2361,distributive
1781,5,inspect,tall,bare,3168,collective
1781,6,inspect,big,bare,3067,distributive
1781,7,inspect,heavy,bare,5575,distributive
1781,8,inspect,heavy,together,1826,collective
1781,9,inspect,heavy,each,1921,distributive
1780,1,move,big,together,15005,distributive
1780,2,move,heavy,each,3697,distributive
1780,3,move,big,each,6791,distributive
1780,4,move,tall,each,2227,distributive
1780,5,move,tall,bare,2000,distributive
1780,6,move,heavy,together,2531,collective
1780,7,move,big,bare,1506,collective
1780,8,move,tall,together,1947,collective
1780,9,move,heavy,bare,512,distributive
1779,1,inspect,big,together,12826,collective
1779,2,inspect,big,each,3511,distributive
1779,3,inspect,tall,each,2599,distributive
1779,4,inspect,heavy,each,3564,collective
1779,5,inspect,tall,bare,4016,distributive
1779,6,inspect,tall,together,4181,collective
1779,7,inspect,heavy,together,2131,collective
1779,8,inspect,heavy,bare,1898,distributive
1779,9,inspect,big,bare,2247,distributive
1778,1,move,heavy,together,20145,distributive
1778,2,move,heavy,bare,7680,collective
1778,3,move,tall,each,3823,distributive
1778,4,move,tall,together,2467,collective
1778,5,move,big,together,5145,distributive
1778,6,move,heavy,each,5224,distributive
1778,7,move,tall,bare,3224,distributive
1778,8,move,big,bare,5841,distributive
1778,9,move,big,each,2608,distributive
1777,1,inspect,tall,each,5461,distributive
1777,2,inspect,big,bare,6050,distributive
1777,3,inspect,heavy,together,3704,collective
1777,4,inspect,heavy,bare,2370,distributive
1777,5,inspect,tall,bare,6338,distributive
1777,6,inspect,big,each,1849,distributive
1777,7,inspect,tall,together,2554,collective
1777,8,inspect,big,together,6963,collective
1777,9,inspect,heavy,each,2186,distributive
1776,1,move,big,together,9454,distributive
1776,2,move,heavy,bare,14906,distributive
1776,3,move,big,each,4817,distributive
1776,4,move,tall,together,2998,collective
1776,5,move,big,bare,2299,distributive
1776,6,move,heavy,together,2422,collective
1776,7,move,tall,each,3241,distributive
1776,8,move,tall,bare,2487,distributive
1776,9,move,heavy,each,2549,distributive
1775,1,inspect,big,bare,3635,distributive
1775,2,inspect,tall,together,2257,collective
1775,3,inspect,tall,bare,3902,distributive
1775,4,inspect,big,each,2080,distributive
1775,5,inspect,tall,each,2840,distributive
1775,6,inspect,big,together,2015,collective
